deck_id;n_slides ;startup_name;customer_segments;value_proposition;channels;customer_relationships;revenue_model;key_resources;key_activities;key_partners;cost_structure;;;;;;;;;;;;
1;12;Palta;health and wellbeing consumers;AI-based health products;Mobile apps;; subscriptions;AI platform, apps, 550 team;App dev, AI personalization;;;;;;;;;;;;;;
2;18;Aura;Individuals and families seeking comprehensive digital safety and identity protection;Unified 'Intelligent Safety' platform combining identity theft protection, device security, VPN, social media monitoring, privacy tools, and family protection Ñ all in one subscription replacing fragmented point solutions;;;Monthly subscription (implied: ~$19.85/month for all-in-one solution vs. ~$76.90/month for fragmented alternatives);"Unified technology platform; AI and advanced threat detection capabilities";"Development and operation of integrated digital safety platform; proactive monitoring across identity, devices, WiFi, social media, assets, and privacy";;;;;;;;;;;;;;
3;13;Bespoken Spirits;"(1) Distillers, rectifiers, and breweries (B2B Ñ MaaS); (2) Retailers, hotels, bars, and restaurants (B2B Ñ CaaS); (3) End consumers (B2C Ñ Bespoken branded spirits)";Proprietary ACTIVation technology that matures and customizes spirits in days instead of decades Ñ enabling cost savings, faster time-to-revenue, reduced waste, and fully tailored taste/color/aroma profiles;;;"Three revenue streams: (1) Bespoken Brand Ñ sells own spirits; (2) MaaS Ñ bulk maturation & enhancement service; (3) CaaS Ñ customized/private label spirit production";"Proprietary ACTIVation technology; data-driven recipe system; production facility; award-winning spirit portfolio";"Spirit maturation and customization using ACTIVation technology; recipe design with clients; production, sourcing, and shipping; competition submissions";;;;;;;;;;;;;;
4;23;Jobox;"Independent skilled home service professionals ('Pros') Ñ plumbers, locksmiths, appliance repair, garage door installers, etc.; operating in the U.S. ($500B market, 3% of U.S. workforce)";"Free all-in-one operating system for home service pros Ñ combining job matching marketplace, workflow tools (scheduling, CRM, calls), integrated fintech (payments, invoicing, inventory), and business management; pros are sent the right jobs for free";"Direct to pros (mobile app); managed marketplace for job dispatch";;;"Technology platform (workflow tools, fintech, marketplace); auto-dispatch system; vetted pro network (5,000+ pros); $1B+ in processed transactions";"Job matching and dispatch; pro vetting and onboarding; workflow tool development; payment processing; marketplace management";"Home service demand-side clients (implied); payment processors (Apple Pay, Android Pay); lead generators";;;;;;;;;;;;;
5;11;Macro;"B2B knowledge workers in professional services (finance, law, banking, consulting); organizations relying on email, PDFs, and Office documents for external communication";A fast, modern productivity suite that upgrades existing formats (email, PDF, Office, calendar) with backwards compatibility Ñ replacing chaotic, siloed workflows with collaborative, synchronized tools;;;;"Technology platform; extensible format integrations (email, PDF, Office, calendar)";"Development of a backwards-compatible productivity suite; upgrading legacy formats (email-to-chat, documents-to-webpages, cross-organization sync)";;;;;;;;;;;;;;
6;11;Sable;"New-to-America internationals (immigrants, expats) who need U.S. banking access without a Social Security Number; focus on credit-worthy internationals (~1.5M arriving per year)";Digital banking platform allowing internationals to open a credit card, bank account, and savings account within 5 minutes using only a phone and passport Ñ building U.S. credit history from day one;Mobile app (digitally native, no branch visits required);;;"Banking technology platform; experienced team (14 banking products launched); compliance and credit risk infrastructure; Visa partnership";"Digital onboarding of international customers; issuing credit cards and bank accounts; credit history building";"Visa (card network); Bancorp (implied via compliance officer background)";;;;;;;;;;;;;
7;11;Sharpist;"Enterprises (B2B); HR departments seeking to improve employee engagement and talent development; market leader in DACH region; clients include GetYourGuide, Booking.com, FlixBus, Zalando";Holistic one-on-one digital coaching platform that increases employee engagement and learning at scale Ñ combining AI coach matching, video coaching, micro-tasks, and people analytics in one ecosystem;"Direct B2B sales (VP Sales, regional sales); digital platform (mobile & web)";"B2B enterprise contracts (ARR/TCV model); ongoing HR analytics dashboard engagement; 100% HR customers engaged in monthly performance tracking";"B2B SaaS / subscription model (ARR-based); coaching credits and coaching minutes; group coaching as additional revenue stream";"AI coach-matching algorithm; digital content library; network of coaches; platform (mobile & web); team with SaaS and HR expertise";"Coach matching and session delivery; platform development; enterprise sales and customer success; people analytics";"Network of professional coaches; enterprise clients";;;;;;;;;;;;;
8;15;Vision;"Businesses (B2B) Ñ primarily eCommerce, fintech, travel, and healthcare companies; growing companies and enterprises seeking message-first marketing; top markets: Brazil, India, US, Indonesia (~60 customers at time of deck)";AI-powered messaging platform enabling businesses to run marketing, sales, and customer service via WhatsApp and other messaging channels Ñ enabling 2-way personalized communication at scale with no-code campaign builders and direct API access;"Direct sales (Head of Sales LATAM); self-serve onboarding; WhatsApp BSP (Business Solution Provider) API";2-way dialogue, unified inbox, CRM & integrations;;"AI/ML technology; WhatsApp BSP status; engineering team (ex-Facebook, Google, Amazon); unified inbox and analytics platform";"Building and operating AI-powered messaging infrastructure; campaign automation; 2-way conversation management; CRM integrations";"WhatsApp / Meta (BSP relationship); CRM platforms (via integrations)";;;;;;;;;;;;;
9;12;Morty;"Home buyers seeking mortgages; end customers reached via B2B2C partnerships; focus on purchase loan customers (less refinancing)";"Digital mortgage marketplace providing access to the industry's largest lenders; first single point of entry to the entire mortgage market for consumers and lenders; competitive pricing through technology-driven efficiency";"Digitally native platform; Leads API with 25+ active B2B2C partners (up 230% YoY); integrations with acquisition partners";;;"Technology platform (Pricing Engine, Underwriting Engine, Leads API); technical & quantitative founding team; network of industry's largest lenders; venture capital backing";"Development and operation of autonomous mortgage platform; Autonomous Acquisition (API partnerships); Autonomous Sales (Pricing Engine); Autonomous Operations (Underwriting & Closing)";"25+ B2B2C acquisition partners (digitally native products & services); major lenders (diversified across multiple lenders); investors: Thrive Capital, Lerer Hippeau, FJ Labs, MetaProp, Techstars";;;;;;;;;;;;;
10;11;Multus;Cultivated meat companies at three stages: research-stage, pilot-stage, and scale-up stage companies;"Affordable, high-performance growth media (key nutrients) for cultivated meat production Ñ making cultivated meat cost-effective and scalable; enables production without antibiotics and without killing animals";;;;"Scientific R&D team; proprietary growth media formulations; advisors and academic roots (Imperial College London)";Research, development, and production of cell culture growth media/nutrients for cultivated meat companies;"IndieBio (accelerator); Imperial College London; scientific advisors";;;;;;;;;;;;;
