deck_id;n_slides ;startup_name;customer_segments;value_proposition;channels;customer_relationships;revenue_model;key_resources;key_activities;key_partners;cost_structure;;;;;;;;;;;;
1;12;Palta;health and wellbeing consumers, women’s health users, femtech users, mobile subscription app users;AI-based health and wellbeing products;app stores, mobile app distribution;;subscription;data, AI research, talent management, access to capital;improve and create health products, cross-sell across ecosystem;;;;;;;;;;;;;;
2;18;Aura;people, families;safer internet for people and families, intelligent safety, unified solution;;;“per month” pricing;proactive protection, simple UI/UX;subscription implied by “per month” pricing;;;;;;;;;;;;;;
3;13;Bespoken_spirits;distillers, rectifiers, breweries, retailers, hotels, bars/restaurants;"design, engineer, and precisely control spirits; deliver premium quality tailored spirits in days rather than decades";;;selling spirits, maturation as a service, customization as a service;ACTivation technology, data;tailor spirits, design recipes, bulk maturation, customization;;;;;;;;;;;;;;
4;23;Jobox;skilled professionals, pros, field pros, plumbers, locksmiths, home service pros;"send pros the right jobs for free; operating system for pros; managed marketplace";app, SMS, phone number, marketplace, APIs;;;location, skills set, availability, tools, phone number, fintech;job matching, scheduling, workflow tools, payments, inventory tracking, business control;third-party lead generators, lenders?;;;;;;;;;;;;;
5;11;Macro;knowledge workers, professional services, email/document users;"fast new productivity suite; upgrade email, documents, PDFs, office docs";email, calendar, PDF, Office, chat;;;extensible formats, Office/email/PDF infrastructure;upgrade old formats and apps, sync everything and everybody;;;;;;;;;;;;;;
6;11;Sable;internationals in the U.S., new-to-America internationals;"digital banking for internationals; access financial products and build credit history from day one";mobile phone;;;14 banking products, team experience;launch banking products, give access to credit card, bank account, savings account;Visa, The Bancorp, Capital One, Amazon, American Express, Accenture, McKinsey & Company, Sberbank, Affirm;;;;;;;;;;;;;
7;11;Sharpist;enterprises, HR customers, learners, coaches;"retain and grow talent; holistic platform for one-on-one digital coaching and learning";mobile, web;;;coach matching, digital content library, people analytics, learning system;coaching, learning ecosystem, coach matching, micro tasks, activity tracking;Gallup;;;;;;;;;;;;;
8;15;Vision;businesses, growing companies, enterprise, SMB DIY;"most intelligent platform for message-based marketing; convert customer connections into revenue";message channels, WhatsApp, SMS, Messenger, Instagram, API;2-way dialogue, unified inbox, CRM & integrations;flat subscription, cost per message, payments in thread;AI, machine learning, cloud platform;"automate, listen, interpret, prioritize messages; marketing automation";WhatsApp BSP, Twilio?;subscription with per-message margin;;;;;;;;;;;;
9;12;morty;consumers, lenders, borrowers, home buyers;mortgage marketplace, digitally native platform, autonomous mortgage;API, marketplace, self-service;;;technology, lenders, partners, pricing engine, underwriting engine;mortgage acquisition, quoting, underwriting, closing, matching;largest lenders, product & API partners;;;;;;;;;;;;;
10;11;multus;cultivated meat companies, scale-up stage companies, pilot-stage companies, research-stage companies;"make cultivated meat sustainable and affordable; growth media nutrients";website, email, social;;;Proliferum M, Serum P, animal-free serum substitute, growth media;create nutrients, sell growth media, cultivate meat production support;Imperial College London, Indie Bio;;;;;;;;;;;;;
