deck_id,customer_segments,value_proposition,channels,customer_relationships,revenue_model,key_resources,key_activities,key_partners,cost_structure
Palta,Women's health and wellness,Personalized health and wellness services through mobile apps,"Mobile app downloads, subscription-based model",Long-term relationships with users through data collection and personalized recommendations,$5OOn ARR (Annual Recurring Revenue) goal in 3 years,Unique data points collected from user behavior and surveys,"Data experiments, AI-driven research, and talent management",,
Aura,people & families,"Intelligent Safety Category, proactive protection against digital threats",,"simple UI/UX, smart features across all areas of life","$3.54/Honth, $8.00/Hanth, $14.99/1onth, $124.00/Honih","proprietary IP, machine learning, automation, continuous feature development",,,
Bespoken_spirits,,"Tailoring spirits for a desired outcome, enhancing products to meet taste, color, and aroma profiles","Distilleries, rectifiers, breweries, retailers, hotels, bars/restaurants","Customization as a service, producing customized spirit for customers, private labeled 'look-a-like' for big brand whiskey at lower price point","Sells spirits, maturation as a service (MaaS), customization as a service (CaaS)","Bespoken ACTivation technology, proprietary technology to instill the barrel into the spirit",,,
Jobox,"Skilled professionals, field pros",Managed marketplace with workflow tools and fintech integration,"Phone number, in-app messaging, video calls","Pro's microsite, online profiles, vetted and reliable pros",,"Integrated fintech, managed marketplace, auto-dispatch system","Job matching, calendar integration, monitoring system",,
Macro,,upgraded office suite with extensible formats,"email, PDF/Office attachments","collaborative, friendly",,,,,
Sable,New-to-America internationals,Easily access financial products and build credit history from day one,"Mobile phone, passport",,,Team with experience in launching 14 banking products,,,
Sharpist,,one-on-one digital coaching and learning,"mobile & web learning, people analytics dashboard, digital content Library","individualized digital coaching, cohort-based learning","$150B+ market, projected ARR FY 2021, gross margin",,corporate learning ecosystem for every stakeholder,,
Vision,"Ecommerce, Fintech, Travel & Healthcare",Message-first Al-powered marketing solution for businesses to have meaningful 2-way dialogue with customers,"WhatsApp, SMS, Email, CRM, and other messaging channels","Personalized communications, Direct API access, No-code campaign builders","Flat subscription model with indicative pricing per message (average ACVs: $2-20k for SMB, $30-200k+ for Enterprise)",,"Building messaging infrastructure for businesses, Automating 2-way communication at scale",,"Cost per message given at margin ~5-20%, Payments in thread: % of transaction value"
morty,Consumers and lenders,Autonomous mortgage marketplace with technology-driven growth and operations,"Digital platform, API, and partnerships","Self-service, pre-approvals, and streamlined transactions",,"Industry's largest lenders, technology, and infrastructure","Autonomous acquisition, sales, and operations","Multiple partners, including THRIVE CAPITAL, LERER HIPPEAU, FJLABS, metaprop, techstars",
multus,,"Cultivated meat represents a step-change in food production, providing a sustainable and affordable choice.",,,,"STEM CELLS, NUTRIENTS, BIOREACTOR",,,
8base,"startups and established organizations, mid-sized and large organizations","low-code foundation for building and running digital products, internal apps, and more; low-code and no-code tools to transform how software is built and maintained","multi-tenant SaaS, marketplaces, portals, customer network-centric apps, experiences, business process management applications","customer success, multi-tenant SaaS, marketplaces, and portal support for startups and established organizations",$10 million equity round; 10x recurring revenues in 18-24 months,"8base platform, AWS, Google Cloud (coming soon)","development of low-code and no-code tools, expanding integrations, marketing to ecosystem of solution partners","solution partners, IBM, NATO, OTAN, BIGFOOT, iilicollabugrow, Livo, VIZSLA, LEADVLT, ICAPITAL, photag",
Ageras,Small and Medium-sized Enterprises (SMEs),Enabling success for SMEs through a preferred ecosystem,"Online marketplace, accounting software, payroll software, financial services",Long-term relationships with customers,"Subscription-based model, revenue from software sales and financial services","Software platforms, financial services, human resources","Developing and maintaining software platforms, providing financial services",,
AI Rudder,"B2C communications, Banks, Airlines, Merchant chats, Insurance",Multi-lingual conversational AI solution for customer experience,"SaaS solution, full stack of AI technology","High net revenue retention (NRR) with big accounts, Highly scalable","Bundled pricing, Acquisition, Activation, Revenue, Retention by use cases",,"Acquire New, Improve, Increase average revenue per user (ARPU), Quick onboarding journey","Microsoft, CooTek, Seagate, Zendesk",
Audience Town,Home movers,Consolidated ad platform focused on finding home movers,"Online advertising, self-service platform",,Payment subscription / MRR,,"Data management, ML engine, campaign task & notification center",,
banxware,,"Embedded Cash Advance Product, Loan application in the merchant's comfort zone","Platforms (6 different), Merchant's own platform",Seamlessly and conveniently integrated into any non-financial business or service,,"Banxware platform, Third-party providers (e.g. ReFinITIV, IDnow)","Loan decision engine, Risk assessment, Collection, KYC/AML checks","PAYONE, Lieferando/Just Eat Takeaway, PENTA, VvRB",
Blueocean,,"Always-on brand tracking, providing live updates and actionable insights","B2B, B2C, any vertical (e.g. Google, Microsoft, Alteryx)","Direct relationship with brands, agencies, consultants, and employees",,"Machine learning, AI, data scientists, and experienced team members","Ingesting, transforming, sharing data; answering business questions","Qualtrics, Avalara, Looker, and other industry partners",
