deck_id;startup_name;field;you;jonas;max;;;;agree_3;n_ones;n_zeros;row_agree;P_i;;;;
1;Palta;customer_segments;1;1;1;;;;1;3;0;1,000000000;1,000000000;;;;
1;Palta;value_proposition;1;1;1;;;;1;3;0;1,000000000;1,000000000;;;;
1;Palta;channels;1;1;1;;;;1;3;0;1,000000000;1,000000000;;P_o;0,903703704;0,903703704
1;Palta;customer_relationships;0;0;0;;;;1;0;3;1,000000000;1,000000000;;p1;0,681481481;0,681481481
1;Palta;revenue_model;1;1;1;;;;1;3;0;1,000000000;1,000000000;;p0;0,318518519;0,318518519
1;Palta;key_resources;1;1;1;;;;1;3;0;1,000000000;1,000000000;;P_e;0,565871056;0,565871056
1;Palta;key_activities;1;1;1;;;;1;3;0;1,000000000;1,000000000;;Fleiss_kappa;0,778185035;0,778185035
1;Palta;key_partners;0;0;0;;;;1;0;3;1,000000000;1,000000000;;;;
1;Palta;cost_structure;0;0;0;;;;1;0;3;1,000000000;1,000000000;;;;
2;Aura;customer_segments;1;1;1;;;;1;3;0;1,000000000;1,000000000;;;;
2;Aura;value_proposition;1;1;1;;;;1;3;0;1,000000000;1,000000000;;;;
2;Aura;channels;0;0;0;;;;1;0;3;1,000000000;1,000000000;;;;
2;Aura;customer_relationships;0;0;0;;;;1;0;3;1,000000000;1,000000000;;;;
2;Aura;revenue_model;1;1;1;;;;1;3;0;1,000000000;1,000000000;;;;
2;Aura;key_resources;1;1;1;;;;1;3;0;1,000000000;1,000000000;;;;
2;Aura;key_activities;1;1;1;;;;1;3;0;1,000000000;1,000000000;;;;
2;Aura;key_partners;0;0;0;;;;1;0;3;1,000000000;1,000000000;;;;
2;Aura;cost_structure;0;0;0;;;;1;0;3;1,000000000;1,000000000;;;;
3;Bespoken_spirits;customer_segments;1;1;1;;;;1;3;0;1,000000000;1,000000000;;;;
3;Bespoken_spirits;value_proposition;1;1;1;;;;1;3;0;1,000000000;1,000000000;;;;
3;Bespoken_spirits;channels;0;0;0;;;;1;0;3;1,000000000;1,000000000;;;;
3;Bespoken_spirits;customer_relationships;0;0;0;;;;1;0;3;1,000000000;1,000000000;;;;
3;Bespoken_spirits;revenue_model;1;1;1;;;;1;3;0;1,000000000;1,000000000;;;;
3;Bespoken_spirits;key_resources;1;1;1;;;;1;3;0;1,000000000;1,000000000;;;;
3;Bespoken_spirits;key_activities;1;1;1;;;;1;3;0;1,000000000;1,000000000;;;;
3;Bespoken_spirits;key_partners;0;0;0;;;;1;0;3;1,000000000;1,000000000;;;;
3;Bespoken_spirits;cost_structure;0;0;0;;;;1;0;3;1,000000000;1,000000000;;;;
4;Jobox;customer_segments;1;1;1;;;;1;3;0;1,000000000;1,000000000;;;;
4;Jobox;value_proposition;1;1;1;;;;1;3;0;1,000000000;1,000000000;;;;
4;Jobox;channels;1;1;1;;;;1;3;0;1,000000000;1,000000000;;;;
