target_deck_id,rank,peer_name,url,rank_score,rank_method,core_embed_sim,embed_sim,tfidf_cosine,combined_score,host_penalty,mention_penalty,incumbent_penalty,discovery_source,snippet_prefilter_score,from_cache,bmc_fields_filled,customer_segments,value_proposition,channels,customer_relationships,revenue_model,key_resources,key_activities,key_partners,cost_structure
8base,1,Zenithinnovations,https://zenithinnovations.net/what-is-low-code-and-no-code-development/,0.518,all-MiniLM-L6-v2,0.518,0.631,0.1086,0.0943,0.0,0.0,0.0,bmc_search:low-code foundation for building and running startup company,0.428,no,5,,Low-code and no-code development make building apps easier by reducing manual coding.,,,"Save money, work faster, and do things more efficiently","Pre-built components, easy-to-use interfaces, powerful tools for data analysis","Development process, customization, automation features","Zoho, Zomani, LeadsFizz, Commission Craft, LeadFinder, LinkedPro, List Manager, MapView, Phone and Email Verifier",
8base,2,Outsystems,https://www.outsystems.com/low-code/,0.376,all-MiniLM-L6-v2,0.376,0.586,0.0486,0.0469,0.0,0.0,0.0,bmc_search:low-code foundation for building and running startup company,0.482,yes,4,,Build smarter apps and software faster with less complexity and more agility.,,,"Free Edition, Schedule a demo",AI development platform designed for the enterprise,Visual development with integrated AI capabilities,,
AI Rudder,1,Salestack,https://www.salestack.co/airudder.com,0.571,all-MiniLM-L6-v2,0.571,0.713,0.0494,0.0459,0.0,0.0,0.0,bmc_search:startups similar to airudder B2C communications Multi-lingual conversati,0.644,no,4,,AI-powered voice assistants for customer service operations,,,"Serves over 200 clients across Southeast Asia, India, and beyond","Natural language understanding, automatic speech recognition, text-to-speech technologies",Integrating AI-powered voice assistants with existing call center and CRM systems,,
AI Rudder,2,Bolna,https://www.bolna.ai/,0.531,all-MiniLM-L6-v2,0.531,0.645,0.0566,0.0482,0.0,0.0,0.0,bmc_search:B2C communications Multi-lingual conversational AI solution for customer,0.572,no,4,,Voice AI Agents for Indian Languages | Bolna AI,,,Enterprise Plans - Best-in-class pricing and Forward Deployed service.,"Integrated speech, telephony, and APIs","Bulk Calling at Scale, Custom API Triggers, Human-in-the-Loop",,
AI Rudder,3,Aisuperior,https://aisuperior.com/ai-companies-for-b2c/,0.506,all-MiniLM-L6-v2,0.506,0.663,0.1026,0.0724,0.0,0.0,0.0,bmc_search:B2C communications Multi-lingual conversational AI solution for customer,0.563,no,4,,"Comprehensive artificial intelligence consulting services, empowering businesses to integrate AI solutions.",,,"AI and Data Strategy Development, Process Optimization with AI, AI Use Case Discovery & Identification, AI Training and Workshops, Generative AI Development","PhD-level data scientists and engineers, robust project life cycle management","Transforming AI concepts into scalable solutions, effective risk management in AI project life cycles",,
AI Rudder,4,Engati,https://www.engati.ai/multilingual-chatbots,0.467,all-MiniLM-L6-v2,0.467,0.706,0.0561,0.0538,0.0,0.0,0.0,bmc_search:Multi-lingual conversational AI solution for customer startup company,0.477,no,5,,Transformative Customer eXperiences for businesses to connect & engage with customers,"WhatsApp Chatbot, Shopify Chatbot, AI Chatbot, Instagram Chatbot, Live Chat",Deep and lasting connections through Conversational Intelligence,,"Conversational Automation, eSenseGPT, Natural Language Processing",Building multilingual chatbots with conversational intelligence,,
AI Rudder,5,Rasa,https://rasa.com/,0.369,all-MiniLM-L6-v2,0.369,0.673,0.0519,0.0484,0.0,0.0,0.0,bmc_search:B2C communications Multi-lingual conversational AI solution for customer,0.483,no,4,,Build Trustworthy AI Agents for Real-World Use,,,"book a demo, try now","Patented dialogue management, On-prem / private cloud deployment","Multi-agent orchestration, Open framework",,
Ageras,1,Single Market Economy,https://single-market-economy.ec.europa.eu/smes_en,0.665,all-MiniLM-L6-v2,0.665,0.738,0.0269,0.0398,0.0,0.0,0.0,bmc_search:Enabling success for SMEs through a startup company,0.443,yes,5,,"SME-friendly business conditions, funding and support options",,,Supporting SMEs throughout their lifecycle,"Enterprise Europe Network, European SME Week, Early Warning Europe","Entrepreneurship education, Access to finance, Insolvency prevention and second chance","Network of SME envoys, SME Assembly, SME Performance Review",
Ageras,2,Businessblogofsg,https://businessblogofsg.com/ep-application-for-startups-and-smes-what-to-prepare/,0.588,all-MiniLM-L6-v2,0.588,0.686,0.039,0.0569,0.0,0.0,0.0,bmc_search:Enabling success for SMEs through a startup company,0.377,no,5,,EP Application guide for startups and SMEs in Singapore,,,"Guide sales, EP Application fees","ACRA registration, Corporate Bank Account","Preparing documents, Strategic tips for MOM","MOM, ACRA",
Ageras,3,Inc91,https://www.inc91.com/empowering-indias-startups-and-smes-through-innovation-and-world-class-tech,0.578,all-MiniLM-L6-v2,0.578,0.594,0.0395,0.0494,0.0,0.0,0.0,bmc_search:Enabling success for SMEs through a startup company,0.442,no,4,,Empowering India’s Startups and SMEs Through Innovation and World-Class Tech,,"building lasting relationships, ongoing support, continual enhancements",,"over eight years of industry experience, portfolio exceeding 250 completed projects",delivering technology solutions that meet international benchmarks,,
