target_deck_id,candidates_discovered,peers_scored,top5_strong_peers,top5_mean_rank_score,uniqueness_label,vc_note
8base,15,2,1,0.447,high,"Few strong startup peers in top-5 (1); idea may be relatively differentiated — verify manually. Top: Zenithinnovations, Outsystems."
AI Rudder,15,5,4,0.489,crowded,"Several strong peers (4 in top-5); space looks competitive — benchmark vs Salestack, Bolna, Aisuperior."
Ageras,15,5,5,0.577,crowded,"Several strong peers (5 in top-5); space looks competitive — benchmark vs Single Market Economy, Businessblogofsg, Inc91."
Audience Town,15,4,3,0.535,moderate,"Some comparable startups found (3 strong in top-5); competitive but not saturated. Top: Speedeondata, Marketingtechginsights, Eltoro."
Aura,15,6,3,0.439,moderate,"Some comparable startups found (3 strong in top-5); competitive but not saturated. Top: Canopy, Startup, Cybersecuritynews."
Belgian Boys,15,9,3,0.514,moderate,"Some comparable startups found (3 strong in top-5); competitive but not saturated. Top: Chefstandards, Insights, Thehalogroup."
Bespoken_spirits,15,10,5,0.562,crowded,"Several strong peers (5 in top-5); space looks competitive — benchmark vs Alexanderjarvis, Chilledmagazine, Cbrands."
Bigblue,15,6,5,0.582,crowded,"Several strong peers (5 in top-5); space looks competitive — benchmark vs Shipbob, Tradly, Youngurbanproject."
Blueocean,15,6,3,0.466,moderate,"Some comparable startups found (3 strong in top-5); competitive but not saturated. Top: Competition, Altitudemarketing, Sendigital."
Bower,15,10,5,0.56,crowded,"Several strong peers (5 in top-5); space looks competitive — benchmark vs Scandinavianmind, En, Climatechlist."
Calaxy,15,5,1,0.406,high,"Few strong startup peers in top-5 (1); idea may be relatively differentiated — verify manually. Top: Panxora, Spearmint, Thedatascientist."
Circular,15,8,4,0.51,crowded,"Several strong peers (4 in top-5); space looks competitive — benchmark vs Texspacetoday, Knowingfabric, Climatesort."
Cowboy,15,8,5,0.596,crowded,"Several strong peers (5 in top-5); space looks competitive — benchmark vs Velomag, Electricbikeexplorer, Geeky Gadgets."
EQL,15,3,1,0.485,high,"Few strong startup peers in top-5 (1); idea may be relatively differentiated — verify manually. Top: Humanwomanity, Renegademarketing, Apps."
Experify,13,4,1,0.414,high,"Few strong startup peers in top-5 (1); idea may be relatively differentiated — verify manually. Top: Life Longlearner, Moz, Winsavvy."
Fluence,15,7,5,0.557,crowded,"Several strong peers (5 in top-5); space looks competitive — benchmark vs Integration Communications, Talkspace, Betterhelp."
